,Temp,Exp,Vol_ds,Vol_ss,Frac_ds,Frac_ss
0,30.0,2.0,700893.0,428429.125,0.6206315755844116,0.3793684244155884
1,30.0,3.0,811438.625,445268.4375,0.6456863880157471,0.35431361198425293
2,30.0,4.0,699371.1875,398981.59375,0.6367455124855042,0.36325448751449585
3,15.0,12.0,1079905.125,19775.396484375,0.9820171594619751,0.017982840538024902
4,15.0,13.0,1019174.1875,35255.09375,0.9665647745132446,0.03343522548675537
5,15.0,14.0,937368.25,114104.3046875,0.8914814591407776,0.10851854085922241
6,17.5,22.0,987249.4375,127661.8125,0.8854959607124329,0.11450403928756714
7,17.5,23.0,1012143.6875,73516.34375,0.9322842359542847,0.06771576404571533
8,17.5,24.0,954885.4375,58240.73046875,0.9425138235092163,0.05748617649078369
9,20.0,32.0,987289.0625,112989.015625,0.8973086476325989,0.10269135236740112
10,20.0,33.0,972628.0,72310.0546875,0.930799663066864,0.06920033693313599
11,20.0,34.0,889945.1875,136671.078125,0.8668723106384277,0.13312768936157227
12,22.5,42.0,958100.375,161277.125,0.8559224605560303,0.14407753944396973
13,22.5,43.0,873762.75,83609.171875,0.912667989730835,0.08733201026916504
14,22.5,44.0,952704.4375,133945.5625,0.8767353296279907,0.12326467037200928
15,25.0,52.0,834095.875,153287.828125,0.8447535634040833,0.15524643659591675
16,25.0,53.0,913601.125,171155.53125,0.8422176241874695,0.15778237581253052
17,25.0,54.0,790447.125,128281.7734375,0.860370397567749,0.13962960243225098
18,27.5,62.0,822126.6875,293359.15625,0.7370122075080872,0.26298779249191284
19,27.5,63.0,817850.625,271035.125,0.7510894536972046,0.2489105463027954
20,27.5,64.0,857760.0,292684.25,0.7455902099609375,0.2544097900390625
21,30.0,72.0,701323.5,460023.96875,0.6038877367973328,0.39611226320266724
22,30.0,73.0,679253.0625,398127.5,0.6304671764373779,0.36953282356262207
23,30.0,74.0,713693.0625,352851.375,0.6691638827323914,0.33083611726760864
24,32.5,82.0,572910.75,654592.6875,0.46672841906547546,0.5332715809345245
25,32.5,83.0,632538.875,662628.875,0.4883837401866913,0.5116162598133087
26,32.5,84.0,619032.375,624375.375,0.4978514611721039,0.5021485388278961
27,35.0,92.0,449968.5,930497.25,0.3259541094303131,0.6740458905696869
28,35.0,93.0,392007.1875,893504.375,0.3049425780773163,0.6950574219226837
29,35.0,94.0,391496.5,881799.0,0.30746713280677795,0.692532867193222
30,37.5,102.0,270973.46875,1104995.5,0.1969328224658966,0.8030671775341034
31,37.5,103.0,234511.609375,1181682.75,0.16559281945228577,0.8344071805477142
32,37.5,104.0,205970.4375,1111423.5,0.1563468724489212,0.8436531275510788
33,40.0,112.0,144344.0,1327586.625,0.09806440770626068,0.9019355922937393
34,40.0,113.0,19836.46875,1384947.0,0.014120658859610558,0.9858793411403894
35,40.0,114.0,40668.1171875,1355040.75,0.02913796529173851,0.9708620347082615
36,42.5,122.0,-18637.45703125,1436433.75,-0.013145370408892632,1.0131453704088926
37,42.5,123.0,631.80859375,1484055.25,0.0004255500389263034,0.9995744499610737
38,42.5,124.0,27679.123046875,1454537.25,0.01867414452135563,0.9813258554786444
39,45.0,132.0,6937.1875,1523872.25,0.004531711805611849,0.9954682881943882
40,45.0,133.0,-78344.1796875,1526011.5,-0.05411752685904503,1.054117526859045
41,45.0,134.0,-4219.470703125,1481567.125,-0.0028561123181134462,1.0028561123181134
