,conc,Int_d,Int_s,Int_b,Int_d_std,Int_s_std,Int_bx_std,Int_by_std,Ad,Wd,Cd,As,Ws,Cs,Abx,Wbx,Cbx,Aby,Wby,Cby,Ad_std,Wd_std,Cd_std,As_std,Ws_std,Cs_std,Abx_std,Wbx_std,Cbx_std,Aby_std,Wby_std,Cby_std
0,0,68122310.32,38843023.68,0,429268.3456,498996.6295,0,0,8961455.702,20.07079648,-112759.1063,3611391.466,28.42807541,-113406.0568,0,25.0568456,-113241,0,21.970529,-113476,58936.77483,0.183964346,0.06406968,48856.94986,0.523694152,0.193991896,0,7.11E-15,0,0,3.55E-15,0
1,30,58353184.95,26719774.51,26531104.42,4502.810776,32086.15582,3753.32258,31733.63553,7445299.557,20.69507396,-112758.9524,3316308.279,21.27768124,-113408.1914,0,25.0568456,-113241,719322.7865,98.29605356,-113455.1665,2066.3066,0.007293536,0.00466916,1586.038638,0.01518438,0.000715086,2809.346333,0.693905033,0.091606857,2146.172152,0.379280831,0.093638583
2,60,40789024.76,24646374.57,37196080.93,1.49E-08,7.45E-09,0,0,5108854.98,21.08256715,-112758.4858,2912582.665,22.34991138,-113409.4722,0,25.0568456,-113241,1184647.144,83.53393553,-113471.1058,0,7.11E-15,1.46E-11,9.31E-10,3.55E-15,1.46E-11,0,7.11E-15,0,6.98E-10,0,0
3,100,27710508.51,17935988.96,53985561.85,3.73E-09,3.73E-09,0,1.49E-08,3571088.592,20.48888697,-112758.6149,2349016.636,20.16181657,-113411.3798,0,25.0568456,-113241,1561371.99,92.08083821,-113474.3874,9.31E-10,0,4.37E-11,0,0,1.46E-11,0,7.11E-15,0,4.66E-10,1.42E-14,4.37E-11
4,150,11462592.23,9046151.064,70483253.59,3.73E-09,1.86E-09,0,2.98E-08,1629911.108,18.56514193,-112759.0335,1385558.098,17.23379123,-113412.0176,0,25.0568456,-113241,1715845.251,109.6277007,-113483.0665,4.66E-10,0,4.37E-11,2.33E-10,3.55E-15,1.46E-11,0,7.11E-15,0,4.66E-10,1.42E-14,4.37E-11
5,200,3542917.331,4244917.19,78743061.32,2839.947434,23297.01895,5655.256459,26829.05899,531756.1436,17.5865273,-112760.1646,839460.7533,13.34140956,-113413.8564,0,25.0568456,-113241,1550621.625,135.9551483,-113492.9161,537.8389942,0.030951257,0.079494631,1013.754881,0.086195744,0.001778586,3964.085468,0.684163432,0.038431155,747.8628319,0.019266679,0.015401846
